Type,X,Y,b3,b4,Ann_Obj_ID
Positive,559,360,0,0,1
Positive,596,380,0,0,1
Positive,623,423,0,0,1
Positive,685,463,0,0,1
Positive,775,463,0,0,1
Positive,837,432,0,0,1
Positive,879,428,0,0,1
Positive,937,450,0,0,1
Positive,988,497,0,0,1
Positive,739,460,0,0,1
Positive,1070,468,0,0,1
Positive,704,209,0,0,2
Positive,777,205,0,0,2
Positive,868,195,0,0,2
Positive,972,191,0,0,2
Positive,1018,244,0,0,2
Positive,1024,309,0,0,2
Positive,960,405,0,0,2
Positive,835,405,0,0,2
Positive,1015,350,0,0,2
Positive,1021,278,0,0,2
Positive,1051,283,0,0,2
Positive,1047,338,0,0,2
Positive,1043,251,0,0,2
Positive,975,392,0,0,2
Positive,913,408,0,0,2
Positive,1024,290,0,0,2
Positive,1007,256,0,0,2
Negative,495,390,0,0,1
Negative,907,525,0,0,1
Negative,583,583,0,0,1
Negative,699,376,0,0,1
Negative,1094,525,0,0,1
Negative,1059,406,0,0,1
Negative,831,242,0,0,1
Negative,947,249,0,0,1
Negative,768,536,0,0,1
Negative,584,454,0,0,1
Negative,1034,638,0,0,1
Negative,868,490,0,0,1
Negative,506,464,0,0,2
Negative,339,439,0,0,2
Negative,1147,489,0,0,2
Negative,1214,436,0,0,2
Negative,591,250,0,0,2
Negative,450,303,0,0,2
Negative,733,567,0,0,2
Negative,1083,424,0,0,2
Negative,938,365,0,0,2
Negative,950,276,0,0,2
Negative,838,274,0,0,2
Negative,785,274,0,0,2
Negative,926,380,0,0,2
Negative,835,374,0,0,2
Negative,1052,215,0,0,2
Negative,1090,272,0,0,2
Negative,1033,378,0,0,2
Negative,1116,317,0,0,2
Negative,1032,182,0,0,2
Negative,1005,166,0,0,2
Negative,913,171,0,0,2
Negative,751,174,0,0,2
Negative,934,236,0,0,2
Negative,848,243,0,0,2
Negative,781,245,0,0,2
Negative,680,235,0,0,2
Negative,660,189,0,0,2
Negative,682,168,0,0,2
Negative,933,337,0,0,2
Box,727,129,1055,175,3
